t,N,P,within4_proxy,u,a,g,anchor,p_agree,burden,q,e,integrated_equilibrium,cond_penalty
100,217.13221171370787,1.1713221171370787,0.0,0.0,0.0,443.61672916953614,1.0,0.46752795031055894,1.3329804447982854,1.0702793270282247,0.7675698317570562,1,1.0
101,215.78392761433844,1.1578392761433842,0.0,0.0,0.0,467.07712793169,1.0,0.46752795031055894,1.3323130441690973,1.069470356568603,0.7673675891421508,1,1.0
102,227.43430808828384,1.2743430808828382,0.0,0.0,0.0,653.5845321239585,1.0,0.46752795031055894,1.3380799825037004,1.0764605848529702,0.7691151462132426,1,1.0
103,230.0962260779872,1.300962260779872,0.0,0.0,0.0,637.2412285930243,1.0,0.46752795031055894,1.3393976319086038,1.0780577356467924,0.7695144339116982,1,1.0
104,234.76077963774182,1.3476077963774182,0.0,0.0,0.0,733.5445397211281,1.0,0.46752795031055894,1.3417065859206823,1.080856467782645,0.7702141169456613,1,1.0
105,238.42995107838294,1.3842995107838294,0.0,0.0,0.0,643.4738637759148,1.0,0.46752795031055894,1.3435228257837997,1.0830579706470298,0.7707644926617574,1,1.0
106,249.1027545278925,1.491027545278925,0.0,0.0,0.0,644.2353352339688,1.0,0.46752795031055894,1.348805863491307,1.0894616527167356,0.772365413179184,1,1.0
107,241.78612043342173,1.4178612043342174,0.0,0.0,0.0,570.3860626961169,1.0,0.46752795031055894,1.3451841296145437,1.085071672260053,0.7712679180650133,1,1.0
108,243.46224571332928,1.4346224571332926,0.0,0.0,0.0,572.4055425668373,1.0,0.46752795031055894,1.3460138116280977,1.0860773474279974,0.7715193368569994,1,1.0
109,249.14002984511552,1.4914002984511554,0.0,0.0,0.0,691.9552477992095,1.0,0.46752795031055894,1.348824314773332,1.0894840179070693,0.7723710044767673,1,1.0
110,241.82343263470102,1.4182343263470103,0.0,0.0,0.0,530.8321559201327,1.0,0.46752795031055894,1.345202599154177,1.0850940595808205,0.7712735148952051,1,1.0
111,241.4995948431856,1.414995948431856,0.0,0.0,0.0,618.1080890906919,1.0,0.46752795031055894,1.345042299447377,1.0848997569059113,0.7712249392264778,1,1.0
