t,x,g,c,u,r,a,ed_proxy
115,0.043313946356419136,0.046823332750396046,0.6237580292818357,0.0,0.0,0.0,0.5529241794932885
116,0.09085050310904429,0.06775094526831128,0.6123516340328458,0.0,0.0,3.75,0.48466204075226493
117,0.0,0.09517948379156882,0.6914047269893191,0.0,0.5,0.0,0.6237107090483979
118,0.019220676879626874,0.023047176709086428,0.6806047269893191,0.0,0.0,0.0,0.5951817614169203
119,0.03482536215777315,0.04305035110745027,0.6695356375130043,0.0,0.0,0.0,0.5716748386060683
120,0.04850193220863795,0.06282356613418823,0.6582480824427954,0.0,0.5,0.0,0.5508345072743261
121,0.0605173739350996,0.006991741587100139,0.6467690553918745,0.0,0.0,0.0,0.5322910347996418
122,0.07013461067004022,0.03880498087140363,0.6351218121567831,0.0,0.0,0.0,0.5170798168854612
123,0.04381343905591034,0.06696916021927966,0.6233399276074025,0.0,0.5,0.0,0.5521621744628359
124,0.05653843706789516,0.00937841421588596,0.6119265394606198,0.0,0.0,0.0,0.5326351690240398
125,0.03174333404070857,0.03990260206369184,0.6003350013416693,0.0,0.0,0.0,0.5656095825442584
126,0.045811018146476215,0.05957669384502036,0.5890905946650994,0.0,0.0,0.0,0.5442281637946983
127,0.058161546704531934,0.07874806887255556,0.5776492404110487,0.0,0.5,0.0,0.5252212206753126
128,0.03402887414918798,0.022136310563674457,0.5660349787571852,0.0,0.0,0.0,0.5572648230047147
129,0.012548729951280785,0.04550201147843766,0.5547585745190966,0.0,0.0,0.0,0.5856455642460714
130,0.029375471055312442,0.060022175081795526,0.5437828922997787,0.0,0.0,0.0,0.5604417743675294
131,0.009032689502992727,0.07556328531501981,0.5325716357050043,0.0,0.5,0.0,0.5872399800515609
132,0.06173721210673888,0.008912954890962676,0.5216451780519624,0.0,0.0,0.0,0.5118146797583599
133,0.07120831105827204,0.04064386082564499,0.5099808570824681,0.0,0.0,0.0,0.49680549308078936
134,0.07976040502520285,0.06870896106561565,0.49818394072765226,0.0,0.5,0.0,0.4830630240738639
135,0.08747514074734097,0.018569595559248652,0.48626729505729943,0.0,0.0,0.0,0.4704748972123176
136,0.05846677610576059,0.05412169876000954,0.47424264308683667,0.0,0.0,0.0,0.5092829099149607
137,0.10397553823755123,0.0770086166220521,0.462624108221356,0.0,0.0,3.75,0.44382786270063174
138,0.0,0.10560578188939379,0.5414934506860303,0.0,0.5,0.0,0.6012240176029046
139,0.05435439415273148,0.031596741149302915,0.5306934506860302,0.0,0.0,0.0,0.5235078657890805
140,0.030150007176588875,0.05764987687941839,0.519132489167892,0.0,0.0,0.0,0.5556598633279594
141,0.044668365842844976,0.07378530059126627,0.5079103890674198,0.0,0.5,0.0,0.53365084618013
142,0.057361091104929665,0.015152313506892858,0.49648503194562,0.0,0.0,0.0,0.5141672272449415
143,0.10252486677096542,0.04481489275431695,0.484881976670151,0.0,0.0,3.75,0.4491974830211711
144,0.0,0.07889358328106844,0.5637716285353574,0.0,0.5,0.0,0.6045657442803036
145,0.019011810205579707,0.009692738290476118,0.5529716285353574,0.0,0.0,0.0,0.576329209992492
146,0.0344744661453739,0.032054596402595635,0.5419054631924793,0.0,0.0,0.0,0.5530215668753484
147,0.04805914108388484,0.05373125373752918,0.5306228206664441,0.0,0.0,0.0,0.5323106255825278
148,0.06001996466132478,0.07444040253889306,0.5191499926912697,0.0,0.5,0.0,0.5138445483778359
149,0.07057186777130062,0.019005442448738457,0.5075097131860111,0.0,0.0,0.0,0.4973258420980809
150,0.043935551082723595,0.05082798624656647,0.4957217070372129,0.0,0.0,0.0,0.532848484539769
151,0.09143644285475451,0.0711690277560528,0.48430660932205477,0.0,0.0,3.75,0.46463497140165194
152,0.0,0.09810887441659026,0.5633514991220882,0.0,0.5,0.0,0.6045027248683132
153,0.0,0.025449277021604013,0.5525514991220881,0.0,0.0,0.0,0.6028827248683133
154,0.018326386977802075,0.040868407157715295,0.5417514991220881,0.0,0.0,0.0,0.5756057830993904
155,0.0,0.057470593456531785,0.5306949297043989,0.0,0.0,0.0,0.5996042394556599
156,0.01873706036108002,0.06712588663435606,0.5198949297043989,0.0,0.5,0.0,0.5717523549501478
157,0.03497476140661444,0.0040904320781652605,0.5088326108593437,0.0,0.0,0.0,0.5473602256596414
158,0.04813075460109088,0.03090870276792423,0.4975429641996511,0.0,0.0,0.0,0.5272483881884205
159,0.05978885306993679,0.055741379263533494,0.48606913363523585,0.0,0.0,0.0,0.5092059757473739
160,0.10513329682920046,0.0786223232592038,0.47443208969225675,0.0,0.0,3.75,0.4439781978929579
161,0.0,0.10717909718765442,0.5532852235366479,0.0,0.5,0.0,0.6029927835304972
162,0.05437457192143167,0.03288685969387663,0.5424852235366479,0.0,0.0,0.0,0.5252483828404928
163,0.030183905828005203,0.05871213248400807,0.5309239795297478,0.0,0.0,0.0,0.5573811287702549
164,0.009711142111191881,0.07466367229573574,0.5197014048481557,0.0,0.5,0.0,0.5843596117715548
165,0.02730914381281783,0.008321817978520756,0.5087654488585991,0.0,0.0,0.0,0.558082015990845
166,0.04159259099459786,0.032722665805955675,0.49758312084521966,0.0,0.0,0.0,0.536407840734346
167,0.08918929644431554,0.0558165856157168,0.48620082457129526,0.0,0.0,0.0,0.4680651086636526
168,0.13041864265263292,0.08503448823685994,0.4741521744210748,0.0,0.0,3.75,0.40853672644947514
169,0.0,0.11789870716719388,0.5526513134239379,0.0,0.5,0.0,0.6028976970135907
170,0.05451205091941927,0.04167693987709897,0.5418513134239379,0.0,0.0,0.0,0.5249608257264037
171,0.06541487054462436,0.06594969369781573,0.530288144711066,0.0,0.5,0.0,0.5079624029441858
172,0.07510259349005144,0.013208360869847762,0.5185723365234413,0.0,0.0,0.0,0.4926422195924442
173,0.08275762762960004,0.047053016107126276,0.5067209002145805,0.0,0.0,0.0,0.480147456350747
174,0.12477501469302993,0.07645912077583715,0.4947622934277661,0.0,0.0,3.75,0.419529323443923
175,0.0,0.10964788220988092,0.5733404432220637,0.0,0.5,0.0,0.6060010664833095
176,0.0,0.03491126341210235,0.5625404432220636,0.0,0.0,0.0,0.6043810664833096
177,0.018447736953260213,0.04862723599792393,0.5517404432220636,0.0,0.0,0.0,0.5769342347487453
178,0.06948869808147716,0.06385904470020183,0.5406821749047179,0.0,0.5,0.0,0.5038181489216397
179,0.11357927259835045,0.012373975439764564,0.5289093331315773,0.0,0.0,3.75,0.44032541833204597
180,0.0,0.05467978274185065,0.6076442233152004,0.0,0.0,0.0,0.6111466334972802
