scenario,year,pressure_mean,occupancy_mean,offload_mean,within4_mean,rr_mean,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean,nep_mean,cost_mean,effgap_micro_mean,effgap_macro_mean
wage_compact,2026,1.0102885802081092,0.9185619119999999,22.318103344,0.5300241521667572,1.0669444692389514,0.42,0.394128,0.06564364876385342,0.945,1.03,1.03,0.0,0.06564364876385342
wage_compact,2027,1.020944957911615,0.9144967758777713,22.681003399530315,0.5300276691851638,1.0734178260421232,0.4275,0.4011113475571102,0.06578886868097054,0.8504999999999999,1.0609,1.0610445734793692,0.0,0.06578886868097054
wage_compact,2028,1.0343422731669067,0.9080955255239246,23.06401204658638,0.5298299743415286,1.0816855965190681,0.433125,0.4062927036198915,0.066041910544705,0.76545,1.092727,1.0931353836107025,0.0,0.066041910544705
wage_compact,2029,1.0440558499459258,0.901501560527054,23.489746524319294,0.5299076174646319,1.0880707587855631,0.43734375,0.4101029038540566,0.06642481124845111,0.75,1.1255088100000001,1.1263338562145355,0.0,0.06642481124845111
wage_compact,2030,1.0567778936675163,0.8951039254892463,23.927057863176763,0.5295013126112,1.0980644207010797,0.4405078125,0.412884041068698,0.0669053839578435,0.75,1.1592740743,1.1606466690700448,0.0,0.0669053839578435
integration_package,2025,1.0,0.92,22.0,0.53,1.0608593464590448,0.41,0.384744,0.06564364876385342,0.9765000000000001,1.0,1.0,0.0,0.06564364876385342
integration_package,2026,1.0080901283026118,0.9165334296000001,22.2739694752,0.5300241521667572,1.0756240051279828,0.42,0.3903383076923077,0.07598970360622093,0.8788500000000002,1.03,1.04,0.0,0.07598970360622093
integration_package,2027,1.016506510626824,0.910593470338062,22.550081951384662,0.5300276691851638,1.0910122997825895,0.4275,0.3934409592502445,0.08656711591702937,0.7909650000000003,1.0609,1.0817303275945513,0.0,0.08656711591702937
integration_package,2028,1.0276045733290489,0.9035943020823255,22.81858786129112,0.5298299743415286,1.1084685809797776,0.433125,0.39470490576429884,0.09733889275943206,0.75,1.092727,1.1252277791542062,0.0,0.09733889275943206
integration_package,2029,1.034997743650698,0.8968189587738639,23.10651087776972,0.5299221651827872,1.1241644162503717,0.43734375,0.39459764325109,0.10832869952646319,0.75,1.1255088100000001,1.170591798806196,0.0,0.10832869952646319
integration_package,2030,1.0453297480117956,0.89019272040397,23.382016256165116,0.5296792477837332,1.1428811005642023,0.4405078125,0.3934848936846702,0.11950463413764054,0.75,1.1592740743,1.217867436192142,0.0,0.11950463413764054
macro_alignment_package,2025,1.0,0.92,22.0,0.53,1.0700224013769628,0.41,0.39040199999999997,0.05019953791220333,1.05,1.0,1.0,0.0,0.05019953791220333
macro_alignment_package,2026,1.0102885802081092,0.9185619119999999,22.318103344,0.5300241521667572,1.0426973508453734,0.42,0.4038067572815534,0.040101465432278216,0.945,1.04,1.03,0.0,0.040101465432278216
macro_alignment_package,2027,1.020944957911615,0.9144967758777713,22.681003399530315,0.5300276691851638,1.0396192457276512,0.4275,0.41495151609241554,0.030240866098635605,0.8504999999999999,1.0816000000000001,1.0610445734793692,0.0,0.030240866098635605
macro_alignment_package,2028,1.0343422731669067,0.9080955255239246,23.06401204658638,0.5298299743415286,1.0383177856108872,0.433125,0.42439234819594246,0.020576953963713743,0.76545,1.124864,1.0931353836107025,0.0,0.020576953963713743
macro_alignment_package,2029,1.0440558499459258,0.901501560527054,23.489746524319294,0.5299076174646319,1.0352441833990431,0.43734375,0.43253124056558706,0.011126759914783912,0.75,1.1698585600000002,1.1263338562145355,0.0,0.011126759914783912
macro_alignment_package,2030,1.0567778936675163,0.8951039254892463,23.927057863176763,0.5295013126112,1.0356226213426871,0.4405078125,0.4396922873336711,0.001855659187797063,0.75,1.2166529024000003,1.1606466690700448,0.0,0.001855659187797063
full_package,2025,1.0,0.92,22.0,0.53,1.04621572677091,0.41,0.39040199999999997,0.05019953791220333,0.9765000000000001,1.0,1.0,0.0,0.05019953791220333
full_package,2026,1.0080901283026118,0.9165334296000001,22.2739694752,0.5300241521667572,1.0414370609148278,0.42,0.4038067572815534,0.040101465432278216,0.8788500000000002,1.04,1.03,0.0,0.040101465432278216
full_package,2027,1.016506510626824,0.910593470338062,22.550081951384662,0.5300276691851638,1.037069297413515,0.4275,0.4149575767519482,0.03022581702397891,0.7909650000000003,1.0816000000000001,1.0610290744446038,0.0,0.03022581702397891
full_package,2028,1.0276045733290489,0.9035943020823255,22.81858786129112,0.5298299743415286,1.034429477072327,0.433125,0.4244123640668594,0.02052881063851457,0.75,1.124864,1.0930838175116881,0.0,0.02052881063851457
full_package,2029,1.034997743650698,0.8968189587738639,23.10651087776972,0.5299221651827872,1.0299047174917437,0.43734375,0.43257452803645047,0.011025539462113997,0.75,1.1698585600000002,1.126221102772234,0.0,0.011025539462113997
full_package,2030,1.0453297480117956,0.89019272040397,23.382016256165116,0.5296792477837332,1.02788948518853,0.4405078125,0.43976958238860986,0.0016794848925892592,0.75,1.2166529024000003,1.160442571696303,0.0,0.0016794848925892592
